key,serializer,category,payload_size,checks.fails,checks.passes,checks.value,data_received.count,data_received.rate,data_sent.count,data_sent.rate,http_req_blocked.avg,http_req_blocked.max,http_req_blocked.med,http_req_blocked.min,http_req_blocked.p(90),http_req_blocked.p(95),http_req_connecting.avg,http_req_connecting.max,http_req_connecting.med,http_req_connecting.min,http_req_connecting.p(90),http_req_connecting.p(95),http_req_duration.avg,http_req_duration.max,http_req_duration.med,http_req_duration.min,http_req_duration.p(90),http_req_duration.p(95),http_req_duration{expected_response:true}.avg,http_req_duration{expected_response:true}.max,http_req_duration{expected_response:true}.med,http_req_duration{expected_response:true}.min,http_req_duration{expected_response:true}.p(90),http_req_duration{expected_response:true}.p(95),http_req_failed.fails,http_req_failed.passes,http_req_failed.thresholds.rate<0.01,http_req_failed.value,http_req_receiving.avg,http_req_receiving.max,http_req_receiving.med,http_req_receiving.min,http_req_receiving.p(90),http_req_receiving.p(95),http_req_sending.avg,http_req_sending.max,http_req_sending.med,http_req_sending.min,http_req_sending.p(90),http_req_sending.p(95),http_req_tls_handshaking.avg,http_req_tls_handshaking.max,http_req_tls_handshaking.med,http_req_tls_handshaking.min,http_req_tls_handshaking.p(90),http_req_tls_handshaking.p(95),http_req_waiting.avg,http_req_waiting.max,http_req_waiting.med,http_req_waiting.min,http_req_waiting.p(90),http_req_waiting.p(95),http_reqs.count,http_reqs.rate,iteration_duration.avg,iteration_duration.max,iteration_duration.med,iteration_duration.min,iteration_duration.p(90),iteration_duration.p(95),iterations.count,iterations.rate,vus.max,vus.min,vus.value,vus_max.max,vus_max.min,vus_max.value
google-protobuf_deserialize-only_10,google-protobuf,deserialize-only,10,0,364455,1,41183415,1372706.775579635,1458913365,48627833.82871928,0.0048776626030649015,13.15391,0.002294,0.001012,0.003165,0.003666,2.6166882056769696e-05,1.189157,0,0,0,0,1.917673874234119,27.529957,1.681328,0.141918,3.340244400000002,4.1369389,1.917673874234119,27.529957,1.681328,0.141918,3.340244400000002,4.1369389,364455,0,False,0,0.05070595184041974,17.337254,0.01622,0.006302,0.043882,0.12879399999999988,0.021342159363980834,12.799583,0.008967,0.003457,0.013115,0.038402299999999986,0,0,0,0,0,0,1.845625763029733,27.427656,1.626876,0.122822,3.236828800000001,3.986681499999999,364455,12147.847571501194,2.0434791280267928,32.823086,1.78888,0.192132,3.5149430000000006,4.351567899999999,364455,12147.847571501194,25,25,25,25,25,25
google-protobuf_deserialize-only_100,google-protobuf,deserialize-only,100,0,160001,1,18240114,607957.4004480148,6356519728,211867821.09648013,0.006912287598203545,9.655445,0.002615,0.001082,0.003737,0.004609,0.00012760244623471104,6.294891,0,0,0,0,4.4285669976251,27.439989,4.068904,0.36305,7.094278,8.508653,4.4285669976251,27.439989,4.068904,0.36305,7.094278,8.508653,160001,0,False,0,0.130688612139925,16.37862,0.018916,0.007333,0.116499,0.305473,0.23975318351760125,16.793876,0.071253,0.03191,0.479235,1.006589,0,0,0,0,0,0,4.05812520196758,24.214523,3.791581,0.0,6.536344,7.699996,160001,5332.959653052762,4.668238895338113,27.50988,4.261807,0.448921,7.498248,9.005399,160001,5332.959653052762,25,25,25,25,25,25
google-protobuf_deserialize-only_1000,google-protobuf,deserialize-only,1000,0,20743,1,2385445,79470.74420948757,8249947446,274845768.0737897,0.010694327966060856,11.987541,0.003076,0.001243,0.004638,0.005621,0.001916433302800945,3.606594,0,0,0,0,35.78174540476335,76.565845,35.870943,2.404489,46.8286104,51.038976099999985,35.78174540476335,76.565845,35.870943,2.404489,46.8286104,51.038976099999985,20743,0,False,0,0.1289045041218733,10.272028,0.023494,0.009047,0.12075199999999994,0.3716099999999992,0.6263468565781197,11.132106,0.271308,0.14933,1.5395197999999997,2.3678388999999997,0,0,0,0,0,0,35.02649404406305,74.607617,35.079012,1.792768,46.1392634,50.21016369999999,20743,691.049949647718,36.138801539362525,76.737306,36.232482,2.572484,47.1697228,51.47653379999999,20743,691.049949647718,25,25,25,25,25,25
google-protobuf_roundtrip_10,google-protobuf,roundtrip,10,0,336388,1,1341178956,44704302.90029952,1344206448,44805215.547929995,0.005372661316693759,12.476511,0.002334,0.000952,0.003186,0.003707,6.335194180529628e-05,1.770126,0,0,0,0,2.0845053187658014,27.497082,1.8452965,0.156754,3.5689916,4.403250049999998,2.0845053187658014,27.497082,1.8452965,0.156754,3.5689916,4.403250049999998,336388,0,False,0,0.05424352280699568,17.311719,0.017162,0.006603,0.048491,0.1412108499999997,0.022019859882040346,13.802473,0.009027,0.003577,0.013458699999999895,0.039283,0,0,0,0,0,0,2.0082419360768093,27.473288,1.7872569999999999,0.132398,3.4580793,4.2548385999999985,336388,11212.516403385884,2.2147538054062137,27.545924,1.955559,0.21367,3.7496546,4.630543199999995,336388,11212.516403385884,25,25,25,25,25,25
google-protobuf_roundtrip_100,google-protobuf,roundtrip,100,0,122092,1,4848517504,161605187.4588732,4849616332,161641812.3250882,0.006904081700685642,14.06844,0.002694,0.001152,0.003798,0.004418,0.0004905410428201684,7.166807,0,0,0,0,5.8965012216197215,26.434452,5.5810175,0.566431,8.912480900000004,10.310506149999998,5.8965012216197215,26.434452,5.5810175,0.566431,8.912480900000004,10.310506149999998,122092,0,False,0,0.16391162161320666,18.57461,0.036669,0.019547,0.17094710000000024,0.4782184999999999,0.23028798166137268,16.581618,0.072445,0.033803,0.4442690000000003,0.974077149999998,0,0,0,0,0,0,5.5023016183452205,23.628975,5.2739674999999995,0.0,8.343846600000001,9.52058825,122092,4069.429579443826,6.121989996682932,26.507669,5.7746455,0.637524,9.269386500000001,10.756944749999999,122092,4069.429579443826,25,25,25,25,25,25
google-protobuf_roundtrip_1000,google-protobuf,roundtrip,1000,0,13280,1,5281535680,175932010.89556175,5281655200,175935992.1985797,0.007442592846385473,7.783322,0.003046,0.001273,0.004739,0.005691449999999994,0.0010306359939759038,1.546169,0,0,0,0,56.06947229149089,123.411173,55.778599,4.838465,68.1295604,72.54823605,56.06947229149089,123.411173,55.778599,4.838465,68.1295604,72.54823605,13280,0,False,0,12.458679864382615,64.892564,8.212614,0.11175,30.1420709,37.45816984999997,0.6565433612198812,10.294059,0.261991,0.14952,1.6754323000000002,2.642441799999998,0,0,0,0,0,0,42.95424906588847,90.353292,45.031495,1.835493,57.282466400000004,60.7447925,13280,442.36700199534766,56.48062505911103,124.034353,56.153023,4.963811,68.65555570000001,73.04023134999998,13280,442.36700199534766,25,25,25,25,25,25
google-protobuf_serialize-only_10,google-protobuf,serialize-only,10,0,396535,1,1580985045,52698306.48860952,44808455,1493581.2975201595,0.004719895073574914,12.811728,0.002244,0.000921,0.003056,0.003566,3.700075655364596e-05,1.557756,0,0,0,0,1.7727025595016512,28.70661,1.529001,0.13874,3.0983336000000015,3.9018375999999986,1.7727025595016512,28.70661,1.529001,0.13874,3.0983336000000015,3.9018375999999986,396535,0,False,0,0.051823837257744955,22.420864,0.016902,0.006833,0.051326600000000035,0.134141,0.01723969891182253,20.58524,0.006702,0.002484,0.009288,0.026189,0,0,0,0,0,0,1.7036390233321461,28.638202,1.478001,0.115716,3.001051,3.765365299999998,396535,13217.533606373094,1.8773377828993363,31.357895,1.617552,0.18673,3.2491856,4.0917289,396535,13217.533606373094,25,25,25,25,25,25
google-protobuf_serialize-only_100,google-protobuf,serialize-only,100,0,247217,1,9817481504,327235381.1628773,28182738,939384.4040231671,0.004950794771395744,5.496277,0.002275,0.000952,0.003076,0.003587,7.205349146701077e-05,2.44904,0,0,0,0,2.9128627021644635,20.190407,2.778954,0.267851,4.269052599999999,4.943729599999998,2.9128627021644635,20.190407,2.778954,0.267851,4.269052599999999,4.943729599999998,247217,0,False,0,0.0825428935024688,13.858908,0.033253,0.017463,0.098264,0.24091539999999986,0.017368906127005847,10.170303,0.006823,0.002815,0.009298,0.028454999999999824,0,0,0,0,0,0,2.812950902534995,17.125735,2.69725,0.226925,4.1406112,4.7741016,247217,8240.214070378659,3.019698980745615,20.474387,2.872108,0.319528,4.404789999999999,5.117524599999999,247217,8240.214070378659,25,25,25,25,25,25
google-protobuf_serialize-only_1000,google-protobuf,serialize-only,1000,0,33962,1,13506891172,450141006.18329525,3905630,130162.01845352836,0.006267632972145232,2.989322,0.002314,0.001012,0.003246,0.003787,0.0011420465814734112,2.759087,0,0,0,0,21.966576271862646,55.946047,21.021695,2.01681,29.520534500000004,33.21413714999999,21.966576271862646,55.946047,21.021695,2.01681,29.520534500000004,33.21413714999999,33962,0,False,0,5.977727573906184,37.967056,4.7102635,0.096,12.612155600000001,15.576139899999998,0.0161144361345034,5.655007,0.007404,0.003517,0.011391900000000002,0.02767149999999997,0,0,0,0,0,0,15.972734261822044,49.815017,15.72608,1.757251,23.089615900000002,26.920777449999996,33962,1131.8436387263337,22.071909681879866,57.231219,21.127692,2.127427,29.6500219,33.323569649999996,33962,1131.8436387263337,25,25,25,25,25,25
json_deserialize-only_10,json,deserialize-only,10,0,286647,1,32391111,1079544.8074853888,1527255216,50901015.34762967,0.0056455576545369176,8.779032,0.002404,0.001071,0.003307,0.003857,6.646436208995735e-05,2.265378,0,0,0,0,2.463722197326286,25.165081,2.192128,0.19179,4.142945999999999,5.086125300000001,2.463722197326286,25.165081,2.192128,0.19179,4.142945999999999,5.086125300000001,286647,0,False,0,0.0538271101145323,17.792234,0.016952,0.007064,0.043742,0.12978000000000012,0.12807104067372063,14.668402,0.041768,0.018334,0.23472359999999995,0.47036230000000034,0,0,0,0,0,0,2.2818240465380994,24.896788,2.048259,0.0,3.903593,4.770203100000002,286647,9553.493871552113,2.600270250081023,25.23403,2.306134,0.258354,4.3308326,5.3250514,286647,9553.493871552113,25,25,25,25,25,25
